ident	Longitude	Latitude	comment
2_4867	760100	7722300	start
3_4867	760100	7722500	start
5_4867	760100	7722900	start
6_4867	760100	7723100	start
11_4867	760300	7722100	start
25_4867	760500	7722900	start
27_4867	760500	7723300	start
61_5026	763300	7718100	start
71_5026	763500	7718100	start
73_5026	763500	7718500	start
81_5026	763700	7718100	start
93_5026	763900	7718500	start
95_5026	763900	7718900	start
27_5186	764500	7717300	start
30_5186	764500	7717900	start
36_5186	764700	7717100	start
38_5186	764700	7717500	start
45_5186	764900	7716900	start
46_5186	764900	7717100	start
8_5694	770100	7767500	start
9_5694	770100	7767700	start
10_5694	770100	7767900	start
12_5694	770300	7766300	start
13_5694	770300	7766500	start
21_5694	770500	7766100	start
27_5694	770500	7767300	start
29_5694	770500	7767700	start
42_5694	770900	7766300	start
43_5694	770900	7766500	start
45_5694	770900	7766900	start
46_5694	770900	7767100	start
52_5694	771100	7766300	start
54_5694	771100	7766700	start
4_5695	770100	7768700	start
5_5695	770100	7768900	start
6_5695	770100	7769100	start
7_5695	770100	7769300	start
8_5695	770100	7769500	start
14_5695	770300	7768700	start
17_5695	770300	7769300	start
18_5695	770300	7769500	start
24_5695	770500	7768700	start
25_5695	770500	7768900	start
26_5695	770500	7769100	start
27_5695	770500	7769300	start
35_5695	770700	7768900	start
36_5695	770700	7769100	start
46_5695	770900	7769100	start
34_5698	770700	7774700	start
54_5698	771100	7774700	start
56_5698	771100	7775100	start
65_5698	771300	7774900	start
70_5698	771300	7775900	start
80_5698	771500	7775900	start
82_5698	771700	7774300	start
83_5698	771700	7774500	start
85_5698	771700	7774900	start
86_5698	771700	7775100	start
90_5698	771700	7775900	start
25_5700	770500	7778900	start
32_5700	770700	7778300	start
36_5700	770700	7779100	start
41_5700	770900	7778100	start
42_5700	770900	7778300	start
45_5700	770900	7778900	start
52_5700	771100	7778300	start
54_5700	771100	7778700	start
66_5700	771300	7779100	start
75_5700	771500	7778900	start
85_5700	771700	7778900	start
94_5700	771900	7778700	start
79_5829	773500	7715700	start
82_5829	773700	7714300	start
83_5829	773700	7714500	start
85_5829	773700	7714900	start
88_5829	773700	7715500	start
90_5829	773700	7715900	start
95_5829	773900	7714900	start
18_5863	772300	7783500	start
28_5863	772500	7783500	start
37_5863	772700	7783300	start
49_5863	772900	7783700	start
56_5863	773100	7783100	start
57_5863	773100	7783300	start
59_5863	773100	7783700	start
68_5863	773300	7783500	start
77_5987	775500	7709300	start
80_5987	775500	7709900	start
85_5987	775700	7708900	start
87_5987	775700	7709300	start
89_5987	775700	7709700	start
90_5987	775700	7709900	start
94_5987	775900	7708700	start
95_5987	775900	7708900	start
97_5987	775900	7709300	start
25_6006	774500	7746900	start
34_6006	774700	7746700	start
36_6006	774700	7747100	start
72_6006	775500	7746300	start
73_6006	775500	7746500	start
74_6006	775500	7746700	start
81_6006	775700	7746100	start
83_6006	775700	7746500	start
2_6173	776100	7758300	start
3_6173	776100	7758500	start
13_6173	776300	7758500	start
22_6173	776500	7758300	start
52_6173	777100	7758300	start
55_6173	777100	7758900	start
56_6173	777100	7759100	start
57_6173	777100	7759300	start
63_6173	777300	7758500	start
65_6173	777300	7758900	start
72_6173	777500	7758300	start
82_6173	777700	7758300	start
83_6173	777700	7758500	start
